,2015,2016,2017,2018,2019,2022,2023,2024,2025
55,UC Irvine,UNC Wilmington,USC,Texas A&M,Texas Tech,Texas A&M Corpus Chris,Texas A&M,Tennessee,Texas A&M
56,UCLA,USC,VCU,Texas Southern,UC Irvine,Texas Southern,Texas A&M Corpus Chris,Texas,Texas Tech
57,Utah,Utah,Vanderbilt,Texas Tech,UCF,Texas Tech,Texas Southern,Texas A&M,Troy
58,VCU,VCU,Vermont,UCLA,Utah St.,UAB,UC Santa Barbara,Texas Tech,UC San Diego
59,Valparaiso,Vanderbilt,Villanova,UMBC,VCU,UCLA,UCLA,UAB,UCLA
60,Villanova,Villanova,Virginia,UNC Greensboro,Vermont,USC,UNC Asheville,Utah St.,UNC Wilmington
61,Virginia,Virginia,Virginia Tech,Villanova,Villanova,Vermont,USC,Vermont,Utah St.
62,West Virginia,Weber St.,Wake Forest,Virginia,Virginia,Villanova,Utah St.,Virginia,VCU
63,Wichita St.,West Virginia,West Virginia,Virginia Tech,Virginia Tech,Virginia Tech,VCU,Wagner,Vanderbilt
64,Wisconsin,Wichita St.,Wichita St.,West Virginia,Washington,Wisconsin,Vermont,Washington St.,Wisconsin
65,Wofford,Wisconsin,Winthrop,Wichita St.,Wisconsin,Wright St.,Virginia,Western Kentucky,Wofford
66,Wyoming,Xavier,Wisconsin,Wright St.,Wofford,Wyoming,West Virginia,Wisconsin,Xavier
67,Xavier,Yale,Xavier,Xavier,Yale,Yale,Xavier,Yale,Yale
